ad_url,ad_creative_body,ad_creative_link_title,ad_creative_link_description,Label
https://www.facebook.com/ads/library/?id=553059402174231,"L'XIª Edizione del Corso per Operatore Specializzato nell'Accoglienza per richiedenti e beneficiari di protezione internazionale, permette di apprendere nuove modalità di lavoro e strumenti utili da poter mettere subito in campo. 
http://bit.ly/Corso_Operatore_XI

Il lavoro dell'operatore dell’accoglienza si basa su:
✅ Relazione d'aiuto
✅ Motivazione
✅ Corretta gestione della comunità
✅ Competenze specifiche
✅ Alleanza operativa
Elementi fondamentali che devono convivere e per quanto possibile essere condivisi all'interno del Team di professionisti in un Progetto di Accoglienza di qualità.

Vi aspettiamo a Roma il 19 Novembre.
💨𝗖𝗶 𝘀𝗼𝗻𝗼 𝗮𝗻𝗰𝗼𝗿𝗮 𝟵 𝗽𝗼𝘀𝘁𝗶 𝗱𝗶𝘀𝗽𝗼𝗻𝗶𝗯𝗶𝗹𝗶.",Ultimi 9 Posti,0,1
https://www.facebook.com/ads/library/?id=2333657013621332,"Il tema della gestione dei migranti infiamma il dibattito politico: tra accuse incrociate e logiche di emergenza è difficile capire cosa effettivamente prevedono le norme e perché. Quali sono i pilastri della politica di immigrazione dell'Unione europea? Ci spiega tutto Matteo Villa, analista del Programma Migrazioni di ISPI, nella prima videolezione su migrazioni e UE.

Vedi le altre videolezioni su diritto d'asilo, convenzione di Dublino e codice Schengen → https://europa2019.ispionline.it/europa2019/video",Videolezioni | Politiche di immigrazione in UE,0,3
https://www.facebook.com/ads/library/?id=343055232955338,"Fico dedica il 2 giugno a rom e migranti, io preferisco dedicare la festa della Repubblica a tutti gli italiani e in special modo a quelli che hanno l’onore di indossare una divisa, difendendo ogni giorno i principi democratici e di legalità.
A loro va il mio personale ringraziamento.",Filippo Maturi (@filippomaturi) • Instagram photos and videos,"7,200 Followers, 342 Following, 167 Posts - See Instagram photos and videos from Filippo Maturi (@filippomaturi)",4
https://www.facebook.com/ads/library/?id=113475300078936,"Appare evidente che il Governo Conte ormai abbia individuato Taranto come il “porto sicuro” dove far sbarcare i migranti a bordo delle Ong.
Ma questa volta sono davvero tanti: 407 a bordo della Ocean Viking.
Tenuto conto che solo 10 giorni fa sono sbarcati 119 migranti e che l’hotspot ha una capienza massima di 400 posti cosa succederà?",0,0,4
https://www.facebook.com/ads/library/?id=2492545750783199,"COME TI DEMONIZZO SALVINI, MELONI & C.
Il successo della manifestazione di piazza San Giovanni brucia alla sinistra e i suoi media tentano ogni possibile demonizzazione: dai saluti romani ai manganelli della polizia, dai muri per gli immigrati al vittimismo Lgbt","Come ti demonizzo Salvini, Meloni & C. - EdicolaWebTV","Dai saluti romani ai manganelli della polizia, dai muri per gli immigrati al vittimismo Lgbt. Tutti i tentativi di demonizzare la piazza di S.Giovanni",4
https://www.facebook.com/ads/library/?id=566696874178901,"""Non possiamo tollerare che si ceda il passo a sovranismi e populismi...ogni forma di esclusione sociale e dalla partecipazione attiva, ogni discriminazione di uomini e donne, italiani o immigrati, persone e famiglie, indebolisce il cammino e lo sviluppo regionale"". 

Un messaggio molto forte dalla Chiesa dell'Emilia-Romagna. Alla base del mio impegno c'è la volontà di arginare i messaggi sessisti e razzisti, incomprensibili per chi, come me porta nel suo agire l’accoglienza e l’inclusione.

#LaForzaDellePersone","Regionali, interviene la Chiesa: ""Scelta europeista, No a sovranismi e populismi in Emilia-Romagna""","I vescovi della regione si schierano con un documento ufficiale: i politici difendano la Costituzione, basta offese e falsità",1
https://www.facebook.com/ads/library/?id=706585309760766,"+++ INCREDIBILE IPOTESI NUOVO CENTRO PROFUGHI A CECINA +++

Dopo ripetute segnalazioni di cittadini ho effettuato un sopralluogo e le risultanze rafforzano l'ipotesi di un nuovo insediamento di numerosi extracomunitari a Cecina presso l'Hotel Manuel.

Si tratterebbe di una collocazione effettuata in fretta e furia sul territorio di un Comune il cui Sindaco è noto per non avere la volontà di dire che Cecina ha già dato.

Chiediamo una risposta entro domani al Sindaco Samuele Lippi: se tutto  venisse confermato sarebbe gravissimo aver nascosto questo fatto ai cittadini, al Consiglio Comunale, alla stampa.

La LEGA è pronta a dare battaglia contro eventuali insabbiamenti: i cittadini devono sapere la verità.",+++ INCREDIBILE IPOTESI NUOVO CENTRO PROFUGHI A CECINA +++,0,5
https://www.facebook.com/ads/library/?id=183939226178613,"Alcune mie considerazioni sul Memorandum ITALIA-LIBIA
👉🏾 Le condizioni dei centri Libici sono conosciute in tutto il mondo e l'Italia deve affermare con forza di non volersi più rendere complice di torture, tratta di esseri umani e morte, sostenendo coloro che le praticano.
👉🏾 Le organizzazioni internazionali e le ONG presenti ci ricordano costantemente che la dignità e i diritti umani in Libia non vengono rispettati
👉🏾 Il rispetto dei diritti umani dev’essere la cornice entro cui si costruisce il nuovo memorandum","Memorandum Italia-Libia, ultima chiamata","I tre anni del Memorandum sono scaduti ieri, cosa intende fare il Governo italiano? Si cominci dal rivedere il Comitato Misto che non può essere costituito solo dai rappresentanti dei due Paesi, deve essere allargato alle organizzazioni ONU che si occupano dei rifugiati e dei migranti",1
https://www.facebook.com/ads/library/?id=512104906053763,"Eccoci con Legambiente Onlus e Gruppo Arena Decò nelle spiagge di Via Garitta ad Acireale (CT) e Marina di Priolo a Augusta/Priolo (SR).
Ringraziamo il Circolo di Legambiente Acireale, Fridays For Future Acireale, Comune di Acireale, il Circolo l'anatroccolo di Legambiente Priolo/Floridia,  il Circolo culturale Tommaso Gargallo, l'Azione Cattolica della parrocchia Angelo Custode, la Comunità di Accoglienza extracomunitari di Priolo e tutti i volontari.

#ripuliamolespiagge",0,0,4
https://www.facebook.com/ads/library/?id=404049996971334,"Ventinove giorni di #prognosi per un dito della mano sinistra fratturato e una ferita sulla fronte al capo pattuglia, otto giorni di prognosi per una distorsione  al polso del braccio sinistro dell'autista. L'assurdo epilogo di un controllo di routine effettuato a Milano da due colleghi di pattuglia del Commissariato #Garibaldi #Venezia. 
A luglio un'auto ha speronato una volante dell' #Ufficio #Prevenzione #Generale durante un inseguimento per le vie di Milano, ferendo un poliziotto. Ad agosto diversi immigrati in rivolta nel centro accoglienza per richiedenti asilo di via Aquila, nella periferia Est di Milano, hanno messo sotto assedio una #volante della Polizia appartenente al Commissariato #Lambrate e due agenti si sono ritrovati con un braccio rotto.
A dicembre del 2018, sempre a Milano, ad un  poliziotto che procedeva ad un controllo di una persona sospetta, è stato staccato un pezzo di dito a morsi.
In media 7 volte al giorno, ogni 3 ore e mezza, un tutore dell'ordine subisce un'aggressione.
In tempo di pace esiste una trincea perpetua per chi indossa una #divisa e questi numeri ne danno la plastica rappresentazione. 
I #Poliziotti chiedono garanzie funzionali, protocolli operativi, strumenti di dissuasione che non li costringa al contatto e a vestire i panni di lottatori ogni volta che una persona si mostri minacciosa.
Si chiede al mondo politico una considerazione dai contorni meno astratti, un'azione incisiva volta a porre il fattore sicurezza quale precondizione imprescindibile per lo sviluppo  del sistema paese.
I Poliziotti, di essere considerati dei pungiball sociali, non ne possono più.

                          Segretario Generale Provinciale
                                          Paolo Magrone",0,0,5
